filename,shape_dictionary,color_dictionary,sweep
0.svg,"{'hexagon': 1, 'pentagon': 2}","{('hexagon', 'yellow'): 1, ('pentagon', 'yellow'): 1, ('pentagon', 'red'): 1}","(2, 2)"
1.svg,"{'star': 2, 'cross': 2}","{('star', 'green'): 1, ('star', 'red'): 1, ('cross', 'blue'): 1, ('cross', 'red'): 1}","(2, 2)"
2.svg,"{'pentagon': 2, 'triangle': 1}","{('pentagon', 'black'): 1, ('pentagon', 'purple'): 1, ('triangle', 'gray'): 1}","(2, 2)"
3.svg,"{'hexagon': 1, 'cross': 1}","{('hexagon', 'gray'): 1, ('cross', 'purple'): 1}","(2, 2)"
4.svg,"{'triangle': 2, 'cross': 1}","{('triangle', 'green'): 1, ('triangle', 'purple'): 1, ('cross', 'gray'): 1}","(2, 2)"
5.svg,"{'cross': 2, 'star': 2}","{('cross', 'purple'): 1, ('cross', 'red'): 1, ('star', 'green'): 1, ('star', 'black'): 1}","(2, 2)"
6.svg,"{'star': 1, 'octagon': 1}","{('star', 'red'): 1, ('octagon', 'purple'): 1}","(2, 2)"
7.svg,"{'triangle': 1, 'pentagon': 2}","{('triangle', 'green'): 1, ('pentagon', 'green'): 1, ('pentagon', 'black'): 1}","(2, 2)"
8.svg,"{'triangle': 2, 'cross': 2}","{('triangle', 'orange'): 1, ('triangle', 'black'): 1, ('cross', 'black'): 1, ('cross', 'purple'): 1}","(2, 2)"
9.svg,"{'hexagon': 1, 'cross': 2}","{('hexagon', 'orange'): 1, ('cross', 'gray'): 1, ('cross', 'orange'): 1}","(2, 2)"
10.svg,"{'triangle': 1, 'hexagon': 1}","{('triangle', 'yellow'): 1, ('hexagon', 'purple'): 1}","(2, 4)"
11.svg,"{'star': 3, 'triangle': 1}","{('star', 'blue'): 1, ('star', 'purple'): 1, ('star', 'black'): 1, ('triangle', 'black'): 1}","(2, 4)"
12.svg,"{'hexagon': 3, 'cross': 4}","{('hexagon', 'yellow'): 1, ('hexagon', 'blue'): 2, ('cross', 'green'): 2, ('cross', 'red'): 1, ('cross', 'black'): 1}","(2, 4)"
13.svg,"{'pentagon': 1, 'star': 3}","{('pentagon', 'blue'): 1, ('star', 'orange'): 1, ('star', 'red'): 1, ('star', 'blue'): 1}","(2, 4)"
14.svg,{'star': 4},"{('star', 'green'): 1, ('star', 'blue'): 2, ('star', 'yellow'): 1}","(2, 4)"
15.svg,"{'triangle': 2, 'pentagon': 4}","{('triangle', 'black'): 1, ('triangle', 'green'): 1, ('pentagon', 'yellow'): 1, ('pentagon', 'red'): 1, ('pentagon', 'purple'): 1, ('pentagon', 'gray'): 1}","(2, 4)"
16.svg,"{'star': 1, 'triangle': 2}","{('star', 'purple'): 1, ('triangle', 'red'): 1, ('triangle', 'gray'): 1}","(2, 4)"
17.svg,"{'pentagon': 2, 'cross': 3}","{('pentagon', 'blue'): 1, ('pentagon', 'yellow'): 1, ('cross', 'green'): 1, ('cross', 'orange'): 2}","(2, 4)"
18.svg,"{'hexagon': 2, 'cross': 3}","{('hexagon', 'purple'): 1, ('hexagon', 'black'): 1, ('cross', 'purple'): 1, ('cross', 'gray'): 1, ('cross', 'black'): 1}","(2, 4)"
19.svg,"{'hexagon': 4, 'octagon': 1}","{('hexagon', 'purple'): 1, ('hexagon', 'blue'): 2, ('hexagon', 'red'): 1, ('octagon', 'orange'): 1}","(2, 4)"
20.svg,"{'octagon': 5, 'triangle': 5}","{('octagon', 'purple'): 1, ('octagon', 'black'): 1, ('octagon', 'gray'): 1, ('octagon', 'blue'): 2, ('triangle', 'gray'): 1, ('triangle', 'red'): 1, ('triangle', 'purple'): 1, ('triangle', 'green'): 1, ('triangle', 'orange'): 1}","(2, 6)"
21.svg,"{'pentagon': 5, 'octagon': 3}","{('pentagon', 'orange'): 2, ('pentagon', 'blue'): 1, ('pentagon', 'red'): 1, ('pentagon', 'green'): 1, ('octagon', 'purple'): 2, ('octagon', 'green'): 1}","(2, 6)"
22.svg,"{'triangle': 3, 'pentagon': 1}","{('triangle', 'blue'): 1, ('triangle', 'gray'): 1, ('triangle', 'red'): 1, ('pentagon', 'purple'): 1}","(2, 6)"
23.svg,"{'hexagon': 1, 'octagon': 6}","{('hexagon', 'red'): 1, ('octagon', 'red'): 2, ('octagon', 'gray'): 1, ('octagon', 'purple'): 1, ('octagon', 'black'): 1, ('octagon', 'yellow'): 1}","(2, 6)"
24.svg,"{'star': 4, 'triangle': 1}","{('star', 'green'): 2, ('star', 'black'): 1, ('star', 'gray'): 1, ('triangle', 'purple'): 1}","(2, 6)"
25.svg,"{'octagon': 3, 'hexagon': 5}","{('octagon', 'orange'): 1, ('octagon', 'purple'): 1, ('octagon', 'yellow'): 1, ('hexagon', 'black'): 1, ('hexagon', 'purple'): 1, ('hexagon', 'yellow'): 2, ('hexagon', 'orange'): 1}","(2, 6)"
26.svg,"{'pentagon': 5, 'hexagon': 3}","{('pentagon', 'orange'): 1, ('pentagon', 'red'): 1, ('pentagon', 'black'): 1, ('pentagon', 'green'): 1, ('pentagon', 'gray'): 1, ('hexagon', 'orange'): 2, ('hexagon', 'red'): 1}","(2, 6)"
27.svg,"{'cross': 3, 'star': 2}","{('cross', 'orange'): 2, ('cross', 'gray'): 1, ('star', 'black'): 1, ('star', 'yellow'): 1}","(2, 6)"
28.svg,"{'hexagon': 4, 'star': 3}","{('hexagon', 'orange'): 2, ('hexagon', 'green'): 1, ('hexagon', 'yellow'): 1, ('star', 'black'): 1, ('star', 'yellow'): 1, ('star', 'purple'): 1}","(2, 6)"
29.svg,"{'hexagon': 2, 'triangle': 4}","{('hexagon', 'yellow'): 2, ('triangle', 'black'): 1, ('triangle', 'blue'): 1, ('triangle', 'red'): 1, ('triangle', 'gray'): 1}","(2, 6)"
30.svg,"{'pentagon': 1, 'hexagon': 1, 'octagon': 2, 'cross': 1}","{('pentagon', 'red'): 1, ('hexagon', 'yellow'): 1, ('octagon', 'green'): 1, ('octagon', 'yellow'): 1, ('cross', 'yellow'): 1}","(4, 2)"
31.svg,"{'triangle': 1, 'cross': 1, 'hexagon': 1, 'star': 2}","{('triangle', 'red'): 1, ('cross', 'blue'): 1, ('hexagon', 'red'): 1, ('star', 'orange'): 1, ('star', 'red'): 1}","(4, 2)"
32.svg,"{'star': 2, 'pentagon': 2, 'octagon': 2, 'hexagon': 1}","{('star', 'blue'): 1, ('star', 'yellow'): 1, ('pentagon', 'green'): 1, ('pentagon', 'gray'): 1, ('octagon', 'green'): 1, ('octagon', 'purple'): 1, ('hexagon', 'black'): 1}","(4, 2)"
33.svg,"{'triangle': 1, 'pentagon': 2, 'cross': 1, 'star': 1}","{('triangle', 'purple'): 1, ('pentagon', 'blue'): 1, ('pentagon', 'black'): 1, ('cross', 'black'): 1, ('star', 'orange'): 1}","(4, 2)"
34.svg,"{'pentagon': 1, 'triangle': 2, 'star': 1, 'hexagon': 1}","{('pentagon', 'red'): 1, ('triangle', 'yellow'): 1, ('triangle', 'red'): 1, ('star', 'red'): 1, ('hexagon', 'yellow'): 1}","(4, 2)"
35.svg,"{'octagon': 1, 'triangle': 2, 'pentagon': 2, 'cross': 2}","{('octagon', 'blue'): 1, ('triangle', 'purple'): 1, ('triangle', 'blue'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'black'): 1, ('cross', 'green'): 1, ('cross', 'gray'): 1}","(4, 2)"
36.svg,"{'star': 1, 'triangle': 1, 'hexagon': 1, 'cross': 1}","{('star', 'yellow'): 1, ('triangle', 'blue'): 1, ('hexagon', 'red'): 1, ('cross', 'orange'): 1}","(4, 2)"
37.svg,"{'cross': 2, 'octagon': 2, 'hexagon': 1, 'star': 1}","{('cross', 'orange'): 1, ('cross', 'black'): 1, ('octagon', 'red'): 1, ('octagon', 'green'): 1, ('hexagon', 'green'): 1, ('star', 'orange'): 1}","(4, 2)"
38.svg,"{'hexagon': 2, 'pentagon': 2, 'cross': 2, 'star': 2}","{('hexagon', 'blue'): 1, ('hexagon', 'gray'): 1, ('pentagon', 'green'): 1, ('pentagon', 'blue'): 1, ('cross', 'red'): 1, ('cross', 'blue'): 1, ('star', 'purple'): 2}","(4, 2)"
39.svg,"{'triangle': 2, 'pentagon': 2, 'hexagon': 2, 'octagon': 1}","{('triangle', 'black'): 1, ('triangle', 'purple'): 1, ('pentagon', 'green'): 1, ('pentagon', 'red'): 1, ('hexagon', 'black'): 1, ('hexagon', 'red'): 1, ('octagon', 'green'): 1}","(4, 2)"
40.svg,"{'pentagon': 4, 'triangle': 1, 'hexagon': 1, 'star': 4}","{('pentagon', 'blue'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'purple'): 1, ('pentagon', 'black'): 1, ('triangle', 'red'): 1, ('hexagon', 'purple'): 1, ('star', 'orange'): 2, ('star', 'gray'): 1, ('star', 'purple'): 1}","(4, 4)"
41.svg,"{'cross': 2, 'pentagon': 1, 'octagon': 4, 'triangle': 2}","{('cross', 'red'): 1, ('cross', 'purple'): 1, ('pentagon', 'green'): 1, ('octagon', 'gray'): 1, ('octagon', 'green'): 1, ('octagon', 'red'): 1, ('octagon', 'black'): 1, ('triangle', 'orange'): 1, ('triangle', 'black'): 1}","(4, 4)"
42.svg,"{'octagon': 1, 'cross': 3, 'pentagon': 1, 'star': 3}","{('octagon', 'yellow'): 1, ('cross', 'yellow'): 1, ('cross', 'orange'): 1, ('cross', 'gray'): 1, ('pentagon', 'red'): 1, ('star', 'gray'): 1, ('star', 'green'): 1, ('star', 'black'): 1}","(4, 4)"
43.svg,"{'hexagon': 4, 'star': 2, 'octagon': 3, 'pentagon': 3}","{('hexagon', 'red'): 3, ('hexagon', 'gray'): 1, ('star', 'purple'): 2, ('octagon', 'gray'): 1, ('octagon', 'purple'): 1, ('octagon', 'orange'): 1, ('pentagon', 'red'): 2, ('pentagon', 'yellow'): 1}","(4, 4)"
44.svg,"{'triangle': 3, 'cross': 1, 'hexagon': 2, 'pentagon': 4}","{('triangle', 'black'): 1, ('triangle', 'green'): 1, ('triangle', 'red'): 1, ('cross', 'green'): 1, ('hexagon', 'blue'): 1, ('hexagon', 'black'): 1, ('pentagon', 'orange'): 1, ('pentagon', 'green'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'yellow'): 1}","(4, 4)"
45.svg,"{'pentagon': 1, 'hexagon': 3, 'cross': 2, 'triangle': 4}","{('pentagon', 'purple'): 1, ('hexagon', 'orange'): 1, ('hexagon', 'black'): 1, ('hexagon', 'yellow'): 1, ('cross', 'blue'): 1, ('cross', 'purple'): 1, ('triangle', 'yellow'): 1, ('triangle', 'orange'): 2, ('triangle', 'red'): 1}","(4, 4)"
46.svg,"{'hexagon': 3, 'cross': 2, 'octagon': 4, 'star': 2}","{('hexagon', 'purple'): 2, ('hexagon', 'red'): 1, ('cross', 'purple'): 1, ('cross', 'gray'): 1, ('octagon', 'red'): 1, ('octagon', 'yellow'): 2, ('octagon', 'green'): 1, ('star', 'blue'): 1, ('star', 'purple'): 1}","(4, 4)"
47.svg,"{'star': 2, 'triangle': 1, 'cross': 1, 'pentagon': 3}","{('star', 'blue'): 1, ('star', 'black'): 1, ('triangle', 'orange'): 1, ('cross', 'black'): 1, ('pentagon', 'red'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'purple'): 1}","(4, 4)"
48.svg,"{'cross': 1, 'octagon': 4, 'pentagon': 4, 'triangle': 2}","{('cross', 'green'): 1, ('octagon', 'blue'): 1, ('octagon', 'orange'): 1, ('octagon', 'gray'): 1, ('octagon', 'black'): 1, ('pentagon', 'yellow'): 2, ('pentagon', 'green'): 1, ('pentagon', 'orange'): 1, ('triangle', 'gray'): 1, ('triangle', 'blue'): 1}","(4, 4)"
49.svg,"{'octagon': 1, 'cross': 4, 'pentagon': 3, 'hexagon': 2}","{('octagon', 'black'): 1, ('cross', 'red'): 1, ('cross', 'green'): 1, ('cross', 'purple'): 1, ('cross', 'gray'): 1, ('pentagon', 'orange'): 2, ('pentagon', 'green'): 1, ('hexagon', 'blue'): 1, ('hexagon', 'black'): 1}","(4, 4)"
50.svg,"{'hexagon': 6, 'triangle': 5, 'star': 4, 'cross': 1}","{('hexagon', 'black'): 1, ('hexagon', 'red'): 1, ('hexagon', 'purple'): 2, ('hexagon', 'green'): 2, ('triangle', 'blue'): 1, ('triangle', 'purple'): 3, ('triangle', 'black'): 1, ('star', 'gray'): 2, ('star', 'green'): 1, ('star', 'blue'): 1, ('cross', 'green'): 1}","(4, 6)"
51.svg,"{'octagon': 2, 'triangle': 1, 'star': 5, 'cross': 4}","{('octagon', 'orange'): 1, ('octagon', 'black'): 1, ('triangle', 'gray'): 1, ('star', 'purple'): 1, ('star', 'gray'): 1, ('star', 'blue'): 1, ('star', 'green'): 2, ('cross', 'yellow'): 1, ('cross', 'green'): 1, ('cross', 'red'): 1, ('cross', 'purple'): 1}","(4, 6)"
52.svg,"{'cross': 4, 'star': 2, 'hexagon': 2, 'pentagon': 5}","{('cross', 'orange'): 1, ('cross', 'blue'): 1, ('cross', 'purple'): 1, ('cross', 'yellow'): 1, ('star', 'purple'): 1, ('star', 'blue'): 1, ('hexagon', 'black'): 2, ('pentagon', 'black'): 2, ('pentagon', 'orange'): 1, ('pentagon', 'yellow'): 1, ('pentagon', 'purple'): 1}","(4, 6)"
53.svg,"{'cross': 1, 'star': 1, 'hexagon': 6, 'pentagon': 6}","{('cross', 'black'): 1, ('star', 'gray'): 1, ('hexagon', 'purple'): 2, ('hexagon', 'gray'): 1, ('hexagon', 'blue'): 1, ('hexagon', 'green'): 1, ('hexagon', 'black'): 1, ('pentagon', 'purple'): 1, ('pentagon', 'blue'): 2, ('pentagon', 'black'): 1, ('pentagon', 'green'): 1, ('pentagon', 'yellow'): 1}","(4, 6)"
54.svg,"{'pentagon': 3, 'hexagon': 4, 'octagon': 1, 'star': 4}","{('pentagon', 'blue'): 1, ('pentagon', 'orange'): 1, ('pentagon', 'gray'): 1, ('hexagon', 'green'): 1, ('hexagon', 'black'): 1, ('hexagon', 'purple'): 1, ('hexagon', 'yellow'): 1, ('octagon', 'gray'): 1, ('star', 'green'): 1, ('star', 'orange'): 1, ('star', 'gray'): 1, ('star', 'blue'): 1}","(4, 6)"
55.svg,"{'hexagon': 2, 'pentagon': 4, 'triangle': 3, 'cross': 2}","{('hexagon', 'yellow'): 1, ('hexagon', 'orange'): 1, ('pentagon', 'purple'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'black'): 1, ('pentagon', 'orange'): 1, ('triangle', 'gray'): 1, ('triangle', 'black'): 1, ('triangle', 'blue'): 1, ('cross', 'green'): 2}","(4, 6)"
56.svg,"{'star': 6, 'cross': 1, 'pentagon': 2, 'triangle': 4}","{('star', 'yellow'): 2, ('star', 'blue'): 1, ('star', 'gray'): 2, ('star', 'black'): 1, ('cross', 'purple'): 1, ('pentagon', 'green'): 1, ('pentagon', 'purple'): 1, ('triangle', 'blue'): 1, ('triangle', 'orange'): 1, ('triangle', 'yellow'): 1, ('triangle', 'black'): 1}","(4, 6)"
57.svg,"{'triangle': 6, 'octagon': 5, 'hexagon': 1, 'pentagon': 1}","{('triangle', 'gray'): 2, ('triangle', 'orange'): 2, ('triangle', 'green'): 1, ('triangle', 'blue'): 1, ('octagon', 'green'): 2, ('octagon', 'red'): 1, ('octagon', 'gray'): 1, ('octagon', 'purple'): 1, ('hexagon', 'blue'): 1, ('pentagon', 'orange'): 1}","(4, 6)"
