filename,shape_dictionary,color_dictionary,sweep
58.svg,"{'cross': 3, 'star': 1, 'octagon': 5, 'hexagon': 3}","{('cross', 'black'): 1, ('cross', 'green'): 1, ('cross', 'red'): 1, ('star', 'red'): 1, ('octagon', 'yellow'): 1, ('octagon', 'purple'): 2, ('octagon', 'red'): 2, ('hexagon', 'yellow'): 1, ('hexagon', 'black'): 1, ('hexagon', 'orange'): 1}","(4, 6)"
59.svg,"{'hexagon': 6, 'pentagon': 5, 'octagon': 1, 'cross': 1}","{('hexagon', 'green'): 1, ('hexagon', 'red'): 1, ('hexagon', 'blue'): 2, ('hexagon', 'orange'): 1, ('hexagon', 'gray'): 1, ('pentagon', 'blue'): 2, ('pentagon', 'black'): 1, ('pentagon', 'gray'): 2, ('octagon', 'orange'): 1, ('cross', 'green'): 1}","(4, 6)"
60.svg,"{'star': 1, 'triangle': 1, 'pentagon': 2, 'hexagon': 2, 'cross': 1, 'octagon': 1}","{('star', 'green'): 1, ('triangle', 'green'): 1, ('pentagon', 'green'): 1, ('pentagon', 'gray'): 1, ('hexagon', 'green'): 1, ('hexagon', 'orange'): 1, ('cross', 'black'): 1, ('octagon', 'yellow'): 1}","(6, 2)"
61.svg,"{'octagon': 2, 'cross': 2, 'star': 1, 'triangle': 1, 'pentagon': 2, 'hexagon': 1}","{('octagon', 'gray'): 1, ('octagon', 'red'): 1, ('cross', 'purple'): 1, ('cross', 'orange'): 1, ('star', 'orange'): 1, ('triangle', 'yellow'): 1, ('pentagon', 'purple'): 1, ('pentagon', 'black'): 1, ('hexagon', 'red'): 1}","(6, 2)"
62.svg,"{'star': 1, 'cross': 1, 'triangle': 1, 'octagon': 1, 'pentagon': 1, 'hexagon': 2}","{('star', 'black'): 1, ('cross', 'yellow'): 1, ('triangle', 'purple'): 1, ('octagon', 'orange'): 1, ('pentagon', 'gray'): 1, ('hexagon', 'black'): 1, ('hexagon', 'purple'): 1}","(6, 2)"
63.svg,"{'star': 2, 'pentagon': 1, 'triangle': 2, 'cross': 2, 'octagon': 1, 'hexagon': 2}","{('star', 'yellow'): 1, ('star', 'gray'): 1, ('pentagon', 'blue'): 1, ('triangle', 'purple'): 1, ('triangle', 'blue'): 1, ('cross', 'blue'): 1, ('cross', 'red'): 1, ('octagon', 'orange'): 1, ('hexagon', 'gray'): 1, ('hexagon', 'red'): 1}","(6, 2)"
64.svg,"{'cross': 1, 'triangle': 1, 'octagon': 2, 'star': 1, 'hexagon': 1, 'pentagon': 2}","{('cross', 'gray'): 1, ('triangle', 'yellow'): 1, ('octagon', 'red'): 2, ('star', 'black'): 1, ('hexagon', 'red'): 1, ('pentagon', 'red'): 1, ('pentagon', 'black'): 1}","(6, 2)"
65.svg,"{'hexagon': 2, 'pentagon': 2, 'octagon': 2, 'cross': 1, 'triangle': 1, 'star': 1}","{('hexagon', 'gray'): 1, ('hexagon', 'purple'): 1, ('pentagon', 'green'): 1, ('pentagon', 'gray'): 1, ('octagon', 'purple'): 1, ('octagon', 'black'): 1, ('cross', 'red'): 1, ('triangle', 'yellow'): 1, ('star', 'gray'): 1}","(6, 2)"
66.svg,"{'star': 1, 'triangle': 1, 'hexagon': 1, 'pentagon': 1, 'cross': 2, 'octagon': 1}","{('star', 'black'): 1, ('triangle', 'yellow'): 1, ('hexagon', 'purple'): 1, ('pentagon', 'yellow'): 1, ('cross', 'red'): 1, ('cross', 'black'): 1, ('octagon', 'green'): 1}","(6, 2)"
67.svg,"{'hexagon': 1, 'cross': 2, 'star': 1, 'triangle': 1, 'octagon': 2, 'pentagon': 1}","{('hexagon', 'purple'): 1, ('cross', 'blue'): 1, ('cross', 'yellow'): 1, ('star', 'black'): 1, ('triangle', 'orange'): 1, ('octagon', 'green'): 1, ('octagon', 'black'): 1, ('pentagon', 'blue'): 1}","(6, 2)"
68.svg,"{'star': 2, 'octagon': 1, 'pentagon': 2, 'hexagon': 1, 'cross': 2, 'triangle': 1}","{('star', 'purple'): 2, ('octagon', 'black'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'blue'): 1, ('hexagon', 'purple'): 1, ('cross', 'red'): 1, ('cross', 'purple'): 1, ('triangle', 'purple'): 1}","(6, 2)"
69.svg,"{'pentagon': 1, 'star': 1, 'octagon': 2, 'hexagon': 1, 'cross': 2, 'triangle': 2}","{('pentagon', 'red'): 1, ('star', 'yellow'): 1, ('octagon', 'blue'): 1, ('octagon', 'yellow'): 1, ('hexagon', 'green'): 1, ('cross', 'purple'): 1, ('cross', 'red'): 1, ('triangle', 'purple'): 1, ('triangle', 'gray'): 1}","(6, 2)"
70.svg,"{'star': 2, 'pentagon': 3, 'cross': 3, 'hexagon': 2, 'octagon': 3, 'triangle': 1}","{('star', 'red'): 2, ('pentagon', 'yellow'): 1, ('pentagon', 'red'): 1, ('pentagon', 'orange'): 1, ('cross', 'black'): 1, ('cross', 'orange'): 1, ('cross', 'blue'): 1, ('hexagon', 'green'): 1, ('hexagon', 'black'): 1, ('octagon', 'black'): 1, ('octagon', 'purple'): 1, ('octagon', 'blue'): 1, ('triangle', 'red'): 1}","(6, 4)"
71.svg,"{'cross': 3, 'triangle': 2, 'hexagon': 3, 'pentagon': 2, 'octagon': 2, 'star': 1}","{('cross', 'black'): 1, ('cross', 'green'): 1, ('cross', 'orange'): 1, ('triangle', 'black'): 1, ('triangle', 'yellow'): 1, ('hexagon', 'black'): 1, ('hexagon', 'gray'): 1, ('hexagon', 'red'): 1, ('pentagon', 'black'): 1, ('pentagon', 'green'): 1, ('octagon', 'orange'): 1, ('octagon', 'black'): 1, ('star', 'gray'): 1}","(6, 4)"
72.svg,"{'octagon': 3, 'cross': 4, 'triangle': 4, 'pentagon': 3, 'star': 1, 'hexagon': 3}","{('octagon', 'red'): 1, ('octagon', 'green'): 1, ('octagon', 'purple'): 1, ('cross', 'black'): 1, ('cross', 'red'): 1, ('cross', 'gray'): 1, ('cross', 'blue'): 1, ('triangle', 'orange'): 2, ('triangle', 'purple'): 1, ('triangle', 'black'): 1, ('pentagon', 'gray'): 2, ('pentagon', 'green'): 1, ('star', 'orange'): 1, ('hexagon', 'blue'): 2, ('hexagon', 'black'): 1}","(6, 4)"
73.svg,"{'star': 4, 'cross': 2, 'hexagon': 4, 'triangle': 1, 'pentagon': 3, 'octagon': 1}","{('star', 'purple'): 1, ('star', 'yellow'): 1, ('star', 'blue'): 1, ('star', 'gray'): 1, ('cross', 'orange'): 1, ('cross', 'green'): 1, ('hexagon', 'green'): 1, ('hexagon', 'red'): 1, ('hexagon', 'gray'): 1, ('hexagon', 'blue'): 1, ('triangle', 'yellow'): 1, ('pentagon', 'yellow'): 2, ('pentagon', 'blue'): 1, ('octagon', 'black'): 1}","(6, 4)"
74.svg,"{'octagon': 4, 'hexagon': 2, 'cross': 3, 'triangle': 2, 'pentagon': 1, 'star': 3}","{('octagon', 'purple'): 1, ('octagon', 'red'): 1, ('octagon', 'yellow'): 2, ('hexagon', 'blue'): 2, ('cross', 'yellow'): 1, ('cross', 'blue'): 2, ('triangle', 'yellow'): 1, ('triangle', 'black'): 1, ('pentagon', 'gray'): 1, ('star', 'yellow'): 1, ('star', 'orange'): 1, ('star', 'purple'): 1}","(6, 4)"
75.svg,"{'octagon': 3, 'pentagon': 4, 'cross': 2, 'hexagon': 4, 'star': 1, 'triangle': 1}","{('octagon', 'blue'): 1, ('octagon', 'yellow'): 1, ('octagon', 'gray'): 1, ('pentagon', 'blue'): 1, ('pentagon', 'purple'): 1, ('pentagon', 'red'): 1, ('pentagon', 'orange'): 1, ('cross', 'blue'): 1, ('cross', 'gray'): 1, ('hexagon', 'orange'): 1, ('hexagon', 'black'): 1, ('hexagon', 'blue'): 1, ('hexagon', 'yellow'): 1, ('star', 'blue'): 1, ('triangle', 'red'): 1}","(6, 4)"
76.svg,"{'hexagon': 1, 'pentagon': 3, 'cross': 4, 'triangle': 4, 'octagon': 4, 'star': 1}","{('hexagon', 'red'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'red'): 1, ('pentagon', 'orange'): 1, ('cross', 'orange'): 2, ('cross', 'red'): 1, ('cross', 'gray'): 1, ('triangle', 'red'): 1, ('triangle', 'purple'): 1, ('triangle', 'black'): 1, ('triangle', 'blue'): 1, ('octagon', 'gray'): 1, ('octagon', 'blue'): 1, ('octagon', 'green'): 1, ('octagon', 'black'): 1, ('star', 'red'): 1}","(6, 4)"
77.svg,"{'triangle': 1, 'cross': 3, 'hexagon': 4, 'star': 1, 'octagon': 1, 'pentagon': 1}","{('triangle', 'blue'): 1, ('cross', 'yellow'): 1, ('cross', 'black'): 2, ('hexagon', 'yellow'): 2, ('hexagon', 'purple'): 1, ('hexagon', 'red'): 1, ('star', 'purple'): 1, ('octagon', 'blue'): 1, ('pentagon', 'blue'): 1}","(6, 4)"
78.svg,"{'star': 4, 'triangle': 4, 'hexagon': 3, 'pentagon': 3, 'octagon': 4, 'cross': 1}","{('star', 'black'): 1, ('star', 'red'): 1, ('star', 'blue'): 2, ('triangle', 'green'): 1, ('triangle', 'purple'): 1, ('triangle', 'blue'): 1, ('triangle', 'black'): 1, ('hexagon', 'gray'): 1, ('hexagon', 'green'): 1, ('hexagon', 'orange'): 1, ('pentagon', 'blue'): 1, ('pentagon', 'orange'): 1, ('pentagon', 'green'): 1, ('octagon', 'red'): 2, ('octagon', 'black'): 1, ('octagon', 'purple'): 1, ('cross', 'black'): 1}","(6, 4)"
79.svg,"{'hexagon': 2, 'cross': 3, 'star': 1, 'octagon': 3, 'pentagon': 3, 'triangle': 2}","{('hexagon', 'red'): 1, ('hexagon', 'blue'): 1, ('cross', 'gray'): 1, ('cross', 'purple'): 1, ('cross', 'green'): 1, ('star', 'red'): 1, ('octagon', 'green'): 1, ('octagon', 'purple'): 1, ('octagon', 'yellow'): 1, ('pentagon', 'green'): 1, ('pentagon', 'yellow'): 2, ('triangle', 'black'): 1, ('triangle', 'gray'): 1}","(6, 4)"
80.svg,"{'triangle': 2, 'cross': 1, 'star': 5, 'hexagon': 1, 'pentagon': 1, 'octagon': 2}","{('triangle', 'blue'): 1, ('triangle', 'black'): 1, ('cross', 'black'): 1, ('star', 'purple'): 1, ('star', 'blue'): 4, ('hexagon', 'orange'): 1, ('pentagon', 'red'): 1, ('octagon', 'yellow'): 1, ('octagon', 'green'): 1}","(6, 6)"
81.svg,"{'cross': 4, 'octagon': 5, 'pentagon': 6, 'hexagon': 4, 'star': 2, 'triangle': 1}","{('cross', 'green'): 2, ('cross', 'blue'): 1, ('cross', 'orange'): 1, ('octagon', 'green'): 2, ('octagon', 'gray'): 1, ('octagon', 'black'): 1, ('octagon', 'purple'): 1, ('pentagon', 'blue'): 1, ('pentagon', 'red'): 1, ('pentagon', 'gray'): 2, ('pentagon', 'green'): 1, ('pentagon', 'purple'): 1, ('hexagon', 'orange'): 1, ('hexagon', 'green'): 1, ('hexagon', 'blue'): 1, ('hexagon', 'black'): 1, ('star', 'blue'): 2, ('triangle', 'blue'): 1}","(6, 6)"
82.svg,"{'star': 3, 'hexagon': 6, 'cross': 5, 'triangle': 2, 'octagon': 6, 'pentagon': 1}","{('star', 'black'): 2, ('star', 'blue'): 1, ('hexagon', 'orange'): 2, ('hexagon', 'gray'): 1, ('hexagon', 'yellow'): 2, ('hexagon', 'red'): 1, ('cross', 'black'): 1, ('cross', 'yellow'): 1, ('cross', 'green'): 1, ('cross', 'orange'): 1, ('cross', 'blue'): 1, ('triangle', 'orange'): 1, ('triangle', 'black'): 1, ('octagon', 'purple'): 1, ('octagon', 'red'): 1, ('octagon', 'orange'): 2, ('octagon', 'gray'): 1, ('octagon', 'blue'): 1, ('pentagon', 'red'): 1}","(6, 6)"
83.svg,"{'hexagon': 2, 'octagon': 3, 'cross': 2, 'triangle': 4, 'star': 4, 'pentagon': 1}","{('hexagon', 'orange'): 1, ('hexagon', 'yellow'): 1, ('octagon', 'gray'): 1, ('octagon', 'purple'): 1, ('octagon', 'orange'): 1, ('cross', 'purple'): 1, ('cross', 'gray'): 1, ('triangle', 'purple'): 1, ('triangle', 'orange'): 1, ('triangle', 'red'): 1, ('triangle', 'gray'): 1, ('star', 'black'): 1, ('star', 'red'): 3, ('pentagon', 'gray'): 1}","(6, 6)"
84.svg,"{'cross': 3, 'star': 1, 'triangle': 5, 'octagon': 4, 'pentagon': 1, 'hexagon': 6}","{('cross', 'green'): 1, ('cross', 'orange'): 1, ('cross', 'red'): 1, ('star', 'green'): 1, ('triangle', 'gray'): 1, ('triangle', 'red'): 2, ('triangle', 'blue'): 1, ('triangle', 'green'): 1, ('octagon', 'orange'): 1, ('octagon', 'gray'): 3, ('pentagon', 'gray'): 1, ('hexagon', 'red'): 2, ('hexagon', 'yellow'): 2, ('hexagon', 'black'): 1, ('hexagon', 'purple'): 1}","(6, 6)"
85.svg,"{'octagon': 6, 'triangle': 4, 'hexagon': 5, 'star': 1, 'cross': 6, 'pentagon': 2}","{('octagon', 'gray'): 2, ('octagon', 'red'): 1, ('octagon', 'black'): 1, ('octagon', 'yellow'): 1, ('octagon', 'purple'): 1, ('triangle', 'red'): 2, ('triangle', 'yellow'): 1, ('triangle', 'blue'): 1, ('hexagon', 'red'): 3, ('hexagon', 'purple'): 1, ('hexagon', 'gray'): 1, ('star', 'blue'): 1, ('cross', 'black'): 1, ('cross', 'orange'): 2, ('cross', 'blue'): 1, ('cross', 'green'): 1, ('cross', 'purple'): 1, ('pentagon', 'red'): 1, ('pentagon', 'orange'): 1}","(6, 6)"
86.svg,"{'triangle': 6, 'pentagon': 6, 'cross': 6, 'star': 6, 'hexagon': 3, 'octagon': 3}","{('triangle', 'orange'): 1, ('triangle', 'black'): 1, ('triangle', 'green'): 2, ('triangle', 'blue'): 1, ('triangle', 'purple'): 1, ('pentagon', 'purple'): 1, ('pentagon', 'orange'): 1, ('pentagon', 'blue'): 1, ('pentagon', 'red'): 1, ('pentagon', 'black'): 1, ('pentagon', 'gray'): 1, ('cross', 'black'): 1, ('cross', 'yellow'): 1, ('cross', 'gray'): 2, ('cross', 'purple'): 1, ('cross', 'green'): 1, ('star', 'green'): 1, ('star', 'yellow'): 2, ('star', 'purple'): 1, ('star', 'orange'): 1, ('star', 'gray'): 1, ('hexagon', 'orange'): 1, ('hexagon', 'blue'): 1, ('hexagon', 'green'): 1, ('octagon', 'gray'): 2, ('octagon', 'blue'): 1}","(6, 6)"
87.svg,"{'triangle': 3, 'star': 4, 'pentagon': 3, 'hexagon': 1, 'cross': 3, 'octagon': 4}","{('triangle', 'purple'): 1, ('triangle', 'gray'): 1, ('triangle', 'black'): 1, ('star', 'green'): 1, ('star', 'blue'): 1, ('star', 'red'): 1, ('star', 'gray'): 1, ('pentagon', 'red'): 1, ('pentagon', 'orange'): 1, ('pentagon', 'yellow'): 1, ('hexagon', 'red'): 1, ('cross', 'black'): 1, ('cross', 'green'): 1, ('cross', 'gray'): 1, ('octagon', 'purple'): 2, ('octagon', 'yellow'): 1, ('octagon', 'green'): 1}","(6, 6)"
88.svg,"{'star': 5, 'octagon': 3, 'cross': 1, 'pentagon': 3, 'hexagon': 4, 'triangle': 3}","{('star', 'green'): 1, ('star', 'purple'): 2, ('star', 'blue'): 1, ('star', 'black'): 1, ('octagon', 'black'): 1, ('octagon', 'yellow'): 1, ('octagon', 'purple'): 1, ('cross', 'green'): 1, ('pentagon', 'gray'): 1, ('pentagon', 'blue'): 1, ('pentagon', 'purple'): 1, ('hexagon', 'gray'): 2, ('hexagon', 'purple'): 1, ('hexagon', 'black'): 1, ('triangle', 'orange'): 2, ('triangle', 'gray'): 1}","(6, 6)"
89.svg,"{'triangle': 2, 'star': 5, 'hexagon': 1, 'pentagon': 4, 'cross': 1, 'octagon': 3}","{('triangle', 'red'): 1, ('triangle', 'black'): 1, ('star', 'green'): 3, ('star', 'blue'): 1, ('star', 'yellow'): 1, ('hexagon', 'yellow'): 1, ('pentagon', 'blue'): 1, ('pentagon', 'yellow'): 2, ('pentagon', 'black'): 1, ('cross', 'yellow'): 1, ('octagon', 'purple'): 2, ('octagon', 'yellow'): 1}","(6, 6)"
