filename,shape_dictionary,sweep
sweep_0_0.svg,"{'hexagon': 3, 'triangle': 4, 'star': 2}","(3, 3, 10)"
sweep_0_1.svg,"{'octagon': 6, 'star': 3}","(3, 3, 10)"
sweep_0_2.svg,"{'octagon': 1, 'rectangle': 3, 'hexagon': 3}","(3, 3, 10)"
sweep_0_3.svg,"{'hexagon': 6, 'octagon': 2}","(3, 3, 10)"
sweep_0_4.svg,"{'hexagon': 4, 'pentagon': 1, 'triangle': 5}","(3, 3, 10)"
sweep_0_5.svg,"{'circle': 4, 'rectangle': 2, 'hexagon': 3}","(3, 3, 10)"
sweep_0_6.svg,"{'pentagon': 1, 'octagon': 2, 'rectangle': 2}","(3, 3, 10)"
sweep_0_7.svg,"{'circle': 4, 'octagon': 5, 'star': 3}","(3, 3, 10)"
sweep_0_8.svg,"{'pentagon': 3, 'rectangle': 4, 'star': 3}","(3, 3, 10)"
sweep_0_9.svg,"{'octagon': 1, 'pentagon': 4, 'hexagon': 3}","(3, 3, 10)"
sweep_1_0.svg,"{'rectangle': 2, 'triangle': 7, 'octagon': 6}","(3, 3, -20)"
sweep_1_1.svg,"{'pentagon': 1, 'triangle': 2, 'rectangle': 1}","(3, 3, -20)"
sweep_1_2.svg,"{'star': 5, 'circle': 5, 'rectangle': 5}","(3, 3, -20)"
sweep_1_3.svg,"{'triangle': 2, 'hexagon': 4, 'rectangle': 3}","(3, 3, -20)"
sweep_1_4.svg,"{'octagon': 3, 'circle': 3, 'hexagon': 2}","(3, 3, -20)"
sweep_1_5.svg,"{'octagon': 1, 'star': 3, 'triangle': 6}","(3, 3, -20)"
sweep_1_6.svg,"{'hexagon': 4, 'star': 2, 'triangle': 2}","(3, 3, -20)"
sweep_1_7.svg,"{'hexagon': 3, 'circle': 5, 'rectangle': 1}","(3, 3, -20)"
sweep_1_8.svg,"{'pentagon': 2, 'octagon': 1, 'circle': 6}","(3, 3, -20)"
sweep_1_9.svg,"{'rectangle': 5, 'circle': 1, 'pentagon': 4}","(3, 3, -20)"
sweep_2_0.svg,"{'triangle': 5, 'octagon': 3, 'rectangle': 4}","(3, 3, -30)"
sweep_2_1.svg,"{'rectangle': 3, 'octagon': 2, 'triangle': 1}","(3, 3, -30)"
sweep_2_2.svg,"{'octagon': 7, 'pentagon': 5, 'star': 4}","(3, 3, -30)"
sweep_2_3.svg,"{'circle': 7, 'star': 2, 'rectangle': 3}","(3, 3, -30)"
sweep_2_4.svg,"{'pentagon': 2, 'circle': 6, 'hexagon': 4}","(3, 3, -30)"
sweep_2_5.svg,"{'octagon': 1, 'pentagon': 4, 'rectangle': 4}","(3, 3, -30)"
sweep_2_6.svg,"{'triangle': 3, 'star': 4, 'rectangle': 2}","(3, 3, -30)"
sweep_2_7.svg,"{'star': 4, 'triangle': 2, 'pentagon': 2}","(3, 3, -30)"
sweep_2_8.svg,"{'triangle': 2, 'star': 4, 'rectangle': 7}","(3, 3, -30)"
sweep_2_9.svg,"{'octagon': 1, 'star': 1, 'triangle': 3}","(3, 3, -30)"
sweep_3_0.svg,"{'pentagon': 4, 'hexagon': 4, 'rectangle': 1}","(3, 3, -40)"
sweep_3_1.svg,"{'pentagon': 1, 'octagon': 1, 'hexagon': 4}","(3, 3, -40)"
sweep_3_2.svg,"{'pentagon': 4, 'octagon': 3, 'star': 2}","(3, 3, -40)"
sweep_3_3.svg,"{'triangle': 1, 'star': 3, 'hexagon': 3}","(3, 3, -40)"
sweep_3_4.svg,"{'star': 3, 'hexagon': 3, 'triangle': 4}","(3, 3, -40)"
sweep_3_5.svg,"{'triangle': 1, 'circle': 3, 'hexagon': 1}","(3, 3, -40)"
sweep_3_6.svg,"{'pentagon': 2, 'octagon': 1, 'rectangle': 4}","(3, 3, -40)"
sweep_3_7.svg,"{'triangle': 5, 'star': 3, 'pentagon': 2}","(3, 3, -40)"
sweep_3_8.svg,"{'star': 3, 'octagon': 4, 'pentagon': 4}","(3, 3, -40)"
sweep_3_9.svg,"{'pentagon': 4, 'star': 4, 'triangle': 1}","(3, 3, -40)"
sweep_4_0.svg,"{'rectangle': 3, 'pentagon': 4, 'octagon': 1}","(3, 6, 10)"
sweep_4_1.svg,"{'triangle': 1, 'circle': 5, 'rectangle': 1}","(3, 6, 10)"
sweep_4_2.svg,"{'triangle': 8, 'pentagon': 1}","(3, 6, 10)"
sweep_4_3.svg,"{'octagon': 4, 'pentagon': 7, 'star': 2}","(3, 6, 10)"
sweep_4_4.svg,"{'star': 1, 'circle': 5, 'pentagon': 4}","(3, 6, 10)"
sweep_4_5.svg,"{'star': 9, 'circle': 3, 'triangle': 1}","(3, 6, 10)"
sweep_4_6.svg,"{'circle': 1, 'star': 3, 'hexagon': 2}","(3, 6, 10)"
sweep_4_7.svg,"{'triangle': 5, 'rectangle': 6, 'star': 2}","(3, 6, 10)"
sweep_4_8.svg,"{'octagon': 3, 'star': 3, 'pentagon': 4}","(3, 6, 10)"
sweep_4_9.svg,"{'rectangle': 7, 'pentagon': 1, 'circle': 1}","(3, 6, 10)"
sweep_5_0.svg,"{'hexagon': 2, 'pentagon': 7, 'triangle': 3}","(3, 6, -20)"
sweep_5_1.svg,"{'triangle': 8, 'octagon': 7, 'rectangle': 7}","(3, 6, -20)"
sweep_5_2.svg,"{'circle': 4, 'hexagon': 6, 'pentagon': 9}","(3, 6, -20)"
sweep_5_3.svg,"{'triangle': 7, 'hexagon': 9, 'pentagon': 1}","(3, 6, -20)"
sweep_5_4.svg,"{'hexagon': 6, 'triangle': 6, 'star': 4}","(3, 6, -20)"
sweep_5_5.svg,"{'triangle': 8, 'hexagon': 6, 'star': 6}","(3, 6, -20)"
sweep_5_6.svg,"{'circle': 4, 'pentagon': 6, 'hexagon': 4}","(3, 6, -20)"
sweep_5_7.svg,"{'hexagon': 2, 'circle': 8, 'star': 7}","(3, 6, -20)"
sweep_5_8.svg,"{'circle': 6, 'hexagon': 2, 'octagon': 6}","(3, 6, -20)"
sweep_5_9.svg,"{'circle': 11, 'octagon': 7, 'triangle': 5}","(3, 6, -20)"
sweep_6_0.svg,"{'star': 2, 'hexagon': 14, 'triangle': 6}","(3, 6, -30)"
sweep_6_1.svg,"{'pentagon': 4, 'triangle': 2, 'rectangle': 9}","(3, 6, -30)"
sweep_6_2.svg,"{'star': 6, 'circle': 7, 'hexagon': 9}","(3, 6, -30)"
sweep_6_3.svg,"{'octagon': 10, 'hexagon': 3, 'circle': 6}","(3, 6, -30)"
sweep_6_4.svg,"{'triangle': 7, 'pentagon': 4, 'hexagon': 7}","(3, 6, -30)"
sweep_6_5.svg,"{'circle': 9, 'octagon': 9, 'star': 6}","(3, 6, -30)"
sweep_6_6.svg,"{'hexagon': 8, 'circle': 9, 'rectangle': 5}","(3, 6, -30)"
sweep_6_7.svg,"{'rectangle': 1, 'hexagon': 8, 'triangle': 3}","(3, 6, -30)"
sweep_6_8.svg,"{'star': 5, 'pentagon': 8, 'hexagon': 3}","(3, 6, -30)"
sweep_6_9.svg,"{'rectangle': 5, 'star': 1, 'pentagon': 7}","(3, 6, -30)"
sweep_7_0.svg,"{'circle': 8, 'rectangle': 7, 'star': 3}","(3, 6, -40)"
sweep_7_1.svg,"{'pentagon': 11, 'triangle': 8, 'octagon': 6}","(3, 6, -40)"
sweep_7_2.svg,"{'octagon': 6, 'hexagon': 2, 'rectangle': 2}","(3, 6, -40)"
sweep_7_3.svg,"{'rectangle': 1, 'pentagon': 2, 'hexagon': 1}","(3, 6, -40)"
sweep_7_4.svg,"{'star': 8, 'circle': 2, 'hexagon': 6}","(3, 6, -40)"
sweep_7_5.svg,"{'pentagon': 1, 'circle': 5, 'hexagon': 6}","(3, 6, -40)"
sweep_7_6.svg,"{'circle': 6, 'star': 8, 'hexagon': 7}","(3, 6, -40)"
sweep_7_7.svg,"{'octagon': 5, 'pentagon': 4, 'circle': 3}","(3, 6, -40)"
sweep_7_8.svg,"{'pentagon': 8, 'circle': 6, 'hexagon': 4}","(3, 6, -40)"
sweep_7_9.svg,"{'hexagon': 1, 'pentagon': 4, 'circle': 1}","(3, 6, -40)"
sweep_8_0.svg,"{'pentagon': 5, 'octagon': 2, 'rectangle': 2}","(3, 10, 10)"
sweep_8_1.svg,"{'rectangle': 8, 'hexagon': 1, 'circle': 4}","(3, 10, 10)"
sweep_8_2.svg,"{'circle': 11, 'rectangle': 2, 'octagon': 3}","(3, 10, 10)"
sweep_8_3.svg,"{'star': 10, 'hexagon': 5}","(3, 10, 10)"
sweep_8_4.svg,"{'star': 1, 'rectangle': 4, 'circle': 2}","(3, 10, 10)"
sweep_8_5.svg,"{'octagon': 10, 'star': 3}","(3, 10, 10)"
sweep_8_6.svg,"{'circle': 4, 'star': 1, 'hexagon': 1}","(3, 10, 10)"
sweep_8_7.svg,"{'octagon': 7, 'pentagon': 4}","(3, 10, 10)"
sweep_8_8.svg,"{'star': 11, 'pentagon': 3}","(3, 10, 10)"
sweep_8_9.svg,"{'star': 6, 'octagon': 6}","(3, 10, 10)"
sweep_9_0.svg,"{'triangle': 14, 'circle': 1, 'hexagon': 11}","(3, 10, -20)"
sweep_9_1.svg,"{'octagon': 2, 'circle': 3, 'hexagon': 4}","(3, 10, -20)"
sweep_9_2.svg,"{'pentagon': 5, 'octagon': 20, 'circle': 11}","(3, 10, -20)"
sweep_9_3.svg,"{'circle': 14, 'rectangle': 11, 'hexagon': 2}","(3, 10, -20)"
sweep_9_4.svg,"{'circle': 17, 'rectangle': 3, 'hexagon': 7}","(3, 10, -20)"
sweep_9_5.svg,"{'rectangle': 13, 'hexagon': 7, 'octagon': 10}","(3, 10, -20)"
sweep_9_6.svg,"{'octagon': 4, 'pentagon': 11, 'star': 4}","(3, 10, -20)"
sweep_9_7.svg,"{'triangle': 5, 'circle': 5, 'rectangle': 4}","(3, 10, -20)"
sweep_9_8.svg,"{'triangle': 4, 'hexagon': 8, 'octagon': 14}","(3, 10, -20)"
sweep_9_9.svg,"{'rectangle': 3, 'star': 12, 'triangle': 6}","(3, 10, -20)"
sweep_10_0.svg,"{'star': 17, 'pentagon': 11, 'triangle': 8}","(3, 10, -30)"
sweep_10_1.svg,"{'triangle': 6, 'hexagon': 7, 'octagon': 7}","(3, 10, -30)"
sweep_10_2.svg,"{'circle': 8, 'star': 9, 'triangle': 4}","(3, 10, -30)"
sweep_10_3.svg,"{'circle': 3, 'pentagon': 9, 'hexagon': 2}","(3, 10, -30)"
sweep_10_4.svg,"{'octagon': 14, 'circle': 4, 'hexagon': 11}","(3, 10, -30)"
sweep_10_5.svg,"{'circle': 7, 'octagon': 15, 'star': 4}","(3, 10, -30)"
sweep_10_6.svg,"{'pentagon': 7, 'hexagon': 9, 'triangle': 16}","(3, 10, -30)"
sweep_10_7.svg,"{'pentagon': 17, 'triangle': 1, 'octagon': 10}","(3, 10, -30)"
sweep_10_8.svg,"{'rectangle': 11, 'circle': 10, 'octagon': 7}","(3, 10, -30)"
sweep_10_9.svg,"{'circle': 5, 'star': 4, 'hexagon': 7}","(3, 10, -30)"
sweep_11_0.svg,"{'star': 15, 'rectangle': 1, 'hexagon': 4}","(3, 10, -40)"
sweep_11_1.svg,"{'triangle': 3, 'pentagon': 10, 'rectangle': 1}","(3, 10, -40)"
sweep_11_2.svg,"{'rectangle': 6, 'circle': 12, 'star': 6}","(3, 10, -40)"
sweep_11_3.svg,"{'star': 15, 'hexagon': 13, 'pentagon': 10}","(3, 10, -40)"
sweep_11_4.svg,"{'triangle': 12, 'hexagon': 11, 'pentagon': 12}","(3, 10, -40)"
sweep_11_5.svg,"{'octagon': 5, 'pentagon': 5, 'hexagon': 11}","(3, 10, -40)"
sweep_11_6.svg,"{'circle': 4, 'triangle': 5, 'octagon': 3}","(3, 10, -40)"
sweep_11_7.svg,"{'octagon': 15, 'star': 8, 'rectangle': 10}","(3, 10, -40)"
sweep_11_8.svg,"{'octagon': 8, 'star': 8, 'circle': 4}","(3, 10, -40)"
sweep_11_9.svg,"{'star': 2, 'triangle': 16, 'hexagon': 9}","(3, 10, -40)"
sweep_12_0.svg,"{'hexagon': 2, 'triangle': 1, 'rectangle': 2, 'circle': 2, 'star': 1}","(7, 3, 10)"
sweep_12_1.svg,"{'hexagon': 5, 'star': 2, 'rectangle': 4, 'triangle': 3}","(7, 3, 10)"
sweep_12_2.svg,"{'star': 2, 'circle': 3, 'triangle': 2, 'octagon': 1, 'rectangle': 2, 'hexagon': 3}","(7, 3, 10)"
sweep_12_3.svg,"{'star': 1, 'circle': 6, 'pentagon': 3, 'octagon': 2, 'rectangle': 3}","(7, 3, 10)"
sweep_12_4.svg,"{'triangle': 5, 'hexagon': 2, 'octagon': 1}","(7, 3, 10)"
sweep_12_5.svg,"{'triangle': 1, 'star': 3, 'octagon': 1, 'pentagon': 4, 'rectangle': 1, 'hexagon': 3}","(7, 3, 10)"
sweep_12_6.svg,"{'hexagon': 3, 'rectangle': 1, 'pentagon': 3}","(7, 3, 10)"
sweep_12_7.svg,"{'star': 2, 'circle': 1, 'rectangle': 3, 'triangle': 2, 'hexagon': 2, 'octagon': 1}","(7, 3, 10)"
sweep_12_8.svg,"{'octagon': 3, 'star': 1, 'circle': 3, 'triangle': 3, 'pentagon': 2, 'rectangle': 1}","(7, 3, 10)"
sweep_12_9.svg,"{'hexagon': 4, 'star': 4, 'octagon': 2, 'circle': 2}","(7, 3, 10)"
sweep_13_0.svg,"{'triangle': 2, 'hexagon': 7, 'star': 2, 'rectangle': 5, 'pentagon': 1, 'octagon': 3, 'circle': 4}","(7, 3, -20)"
sweep_13_1.svg,"{'star': 5, 'pentagon': 5, 'circle': 4, 'rectangle': 1, 'triangle': 2, 'hexagon': 2, 'octagon': 4}","(7, 3, -20)"
sweep_13_2.svg,"{'hexagon': 4, 'rectangle': 5, 'circle': 2, 'star': 2, 'pentagon': 1, 'octagon': 3, 'triangle': 1}","(7, 3, -20)"
sweep_13_3.svg,"{'pentagon': 4, 'triangle': 4, 'circle': 1, 'octagon': 5, 'hexagon': 4, 'rectangle': 3}","(7, 3, -20)"
sweep_13_4.svg,"{'triangle': 1, 'octagon': 1, 'star': 1, 'circle': 2, 'pentagon': 3, 'hexagon': 3, 'rectangle': 4}","(7, 3, -20)"
sweep_13_5.svg,"{'circle': 3, 'star': 2, 'triangle': 1, 'pentagon': 4, 'octagon': 6, 'rectangle': 5}","(7, 3, -20)"
sweep_13_6.svg,"{'hexagon': 2, 'octagon': 1, 'circle': 2, 'pentagon': 1, 'star': 1, 'rectangle': 5, 'triangle': 2}","(7, 3, -20)"
sweep_13_7.svg,"{'hexagon': 3, 'rectangle': 1, 'pentagon': 2, 'circle': 3, 'triangle': 3, 'octagon': 2, 'star': 2}","(7, 3, -20)"
sweep_13_8.svg,"{'octagon': 6, 'pentagon': 2, 'rectangle': 1, 'star': 1, 'circle': 1, 'triangle': 2, 'hexagon': 1}","(7, 3, -20)"
sweep_13_9.svg,"{'octagon': 4, 'hexagon': 2, 'pentagon': 2, 'rectangle': 6, 'star': 2, 'triangle': 2, 'circle': 3}","(7, 3, -20)"
sweep_14_0.svg,"{'star': 3, 'circle': 3, 'rectangle': 2, 'triangle': 3, 'hexagon': 7, 'pentagon': 4, 'octagon': 1}","(7, 3, -30)"
sweep_14_1.svg,"{'pentagon': 2, 'circle': 1, 'triangle': 2, 'hexagon': 1, 'rectangle': 7, 'star': 4, 'octagon': 1}","(7, 3, -30)"
