filename,answer,sweep
0.png,2,"[0.1, 1, 1, 1]"
1.png,2,"[0.1, 1, 1, 3]"
2.png,2,"[0.1, 1, 3, 1]"
3.png,2,"[0.1, 1, 3, 3]"
4.png,4,"[0.1, 3, 1, 1]"
5.png,4,"[0.1, 3, 1, 3]"
6.png,3,"[0.1, 3, 3, 1]"
7.png,3,"[0.1, 3, 3, 3]"
8.png,3,"[0.12, 1, 1, 1]"
9.png,3,"[0.12, 1, 1, 3]"
10.png,2,"[0.12, 1, 3, 1]"
11.png,4,"[0.12, 1, 3, 3]"
12.png,1,"[0.12, 3, 1, 1]"
13.png,4,"[0.12, 3, 1, 3]"
14.png,1,"[0.12, 3, 3, 1]"
15.png,1,"[0.12, 3, 3, 3]"
16.png,3,"[0.14, 1, 1, 1]"
17.png,1,"[0.14, 1, 1, 3]"
18.png,4,"[0.14, 1, 3, 1]"
19.png,4,"[0.14, 1, 3, 3]"
20.png,3,"[0.14, 3, 1, 1]"
21.png,2,"[0.14, 3, 1, 3]"
22.png,1,"[0.14, 3, 3, 1]"
23.png,1,"[0.14, 3, 3, 3]"
24.png,4,"[0.1, 1, 1, 1]"
25.png,3,"[0.1, 1, 1, 3]"
26.png,1,"[0.1, 1, 3, 1]"
27.png,2,"[0.1, 1, 3, 3]"
28.png,2,"[0.1, 3, 1, 1]"
29.png,3,"[0.1, 3, 1, 3]"
30.png,1,"[0.1, 3, 3, 1]"
31.png,4,"[0.1, 3, 3, 3]"
32.png,4,"[0.12, 1, 1, 1]"
33.png,1,"[0.12, 1, 1, 3]"
34.png,1,"[0.12, 1, 3, 1]"
35.png,1,"[0.12, 1, 3, 3]"
36.png,1,"[0.12, 3, 1, 1]"
37.png,3,"[0.12, 3, 1, 3]"
38.png,2,"[0.12, 3, 3, 1]"
39.png,2,"[0.12, 3, 3, 3]"
40.png,4,"[0.14, 1, 1, 1]"
41.png,2,"[0.14, 1, 1, 3]"
42.png,4,"[0.14, 1, 3, 1]"
43.png,1,"[0.14, 1, 3, 3]"
44.png,2,"[0.14, 3, 1, 1]"
45.png,4,"[0.14, 3, 1, 3]"
46.png,1,"[0.14, 3, 3, 1]"
47.png,4,"[0.14, 3, 3, 3]"
48.png,4,"[0.1, 1, 1, 1]"
49.png,3,"[0.1, 1, 1, 3]"
50.png,1,"[0.1, 1, 3, 1]"
51.png,2,"[0.1, 1, 3, 3]"
52.png,4,"[0.1, 3, 1, 1]"
53.png,1,"[0.1, 3, 1, 3]"
54.png,3,"[0.1, 3, 3, 1]"
55.png,3,"[0.1, 3, 3, 3]"
56.png,4,"[0.12, 1, 1, 1]"
57.png,4,"[0.12, 1, 1, 3]"
58.png,4,"[0.12, 1, 3, 1]"
59.png,4,"[0.12, 1, 3, 3]"
60.png,1,"[0.12, 3, 1, 1]"
61.png,4,"[0.12, 3, 1, 3]"
62.png,4,"[0.12, 3, 3, 1]"
63.png,4,"[0.12, 3, 3, 3]"
64.png,4,"[0.14, 1, 1, 1]"
65.png,4,"[0.14, 1, 1, 3]"
66.png,2,"[0.14, 1, 3, 1]"
67.png,3,"[0.14, 1, 3, 3]"
68.png,4,"[0.14, 3, 1, 1]"
69.png,3,"[0.14, 3, 1, 3]"
70.png,1,"[0.14, 3, 3, 1]"
71.png,3,"[0.14, 3, 3, 3]"
72.png,4,"[0.1, 1, 1, 1]"
73.png,3,"[0.1, 1, 1, 3]"
74.png,2,"[0.1, 1, 3, 1]"
75.png,1,"[0.1, 1, 3, 3]"
76.png,2,"[0.1, 3, 1, 1]"
77.png,3,"[0.1, 3, 1, 3]"
78.png,1,"[0.1, 3, 3, 1]"
79.png,4,"[0.1, 3, 3, 3]"
80.png,4,"[0.12, 1, 1, 1]"
81.png,1,"[0.12, 1, 1, 3]"
82.png,2,"[0.12, 1, 3, 1]"
83.png,1,"[0.12, 1, 3, 3]"
84.png,4,"[0.12, 3, 1, 1]"
85.png,4,"[0.12, 3, 1, 3]"
86.png,2,"[0.12, 3, 3, 1]"
87.png,4,"[0.12, 3, 3, 3]"
88.png,2,"[0.14, 1, 1, 1]"
89.png,2,"[0.14, 1, 1, 3]"
90.png,2,"[0.14, 1, 3, 1]"
91.png,4,"[0.14, 1, 3, 3]"
92.png,1,"[0.14, 3, 1, 1]"
93.png,1,"[0.14, 3, 1, 3]"
94.png,1,"[0.14, 3, 3, 1]"
95.png,3,"[0.14, 3, 3, 3]"
96.png,2,"[0.1, 1, 1, 1]"
97.png,4,"[0.1, 1, 1, 3]"
98.png,3,"[0.1, 1, 3, 1]"
99.png,4,"[0.1, 1, 3, 3]"
100.png,2,"[0.1, 3, 1, 1]"
101.png,4,"[0.1, 3, 1, 3]"
102.png,3,"[0.1, 3, 3, 1]"
103.png,2,"[0.1, 3, 3, 3]"
104.png,1,"[0.12, 1, 1, 1]"
105.png,4,"[0.12, 1, 1, 3]"
106.png,2,"[0.12, 1, 3, 1]"
107.png,3,"[0.12, 1, 3, 3]"
108.png,3,"[0.12, 3, 1, 1]"
109.png,4,"[0.12, 3, 1, 3]"
110.png,4,"[0.12, 3, 3, 1]"
111.png,3,"[0.12, 3, 3, 3]"
112.png,2,"[0.14, 1, 1, 1]"
113.png,3,"[0.14, 1, 1, 3]"
114.png,2,"[0.14, 1, 3, 1]"
115.png,3,"[0.14, 1, 3, 3]"
116.png,3,"[0.14, 3, 1, 1]"
117.png,3,"[0.14, 3, 1, 3]"
118.png,2,"[0.14, 3, 3, 1]"
119.png,3,"[0.14, 3, 3, 3]"
120.png,1,"[0.1, 1, 1, 1]"
121.png,1,"[0.1, 1, 1, 3]"
122.png,2,"[0.1, 1, 3, 1]"
123.png,2,"[0.1, 1, 3, 3]"
124.png,2,"[0.1, 3, 1, 1]"
125.png,1,"[0.1, 3, 1, 3]"
126.png,1,"[0.1, 3, 3, 1]"
127.png,3,"[0.1, 3, 3, 3]"
128.png,1,"[0.12, 1, 1, 1]"
129.png,2,"[0.12, 1, 1, 3]"
130.png,2,"[0.12, 1, 3, 1]"
131.png,4,"[0.12, 1, 3, 3]"
132.png,2,"[0.12, 3, 1, 1]"
133.png,4,"[0.12, 3, 1, 3]"
134.png,1,"[0.12, 3, 3, 1]"
135.png,4,"[0.12, 3, 3, 3]"
136.png,3,"[0.14, 1, 1, 1]"
137.png,4,"[0.14, 1, 1, 3]"
138.png,4,"[0.14, 1, 3, 1]"
139.png,1,"[0.14, 1, 3, 3]"
140.png,4,"[0.14, 3, 1, 1]"
141.png,3,"[0.14, 3, 1, 3]"
142.png,3,"[0.14, 3, 3, 1]"
143.png,2,"[0.14, 3, 3, 3]"
144.png,2,"[0.1, 1, 1, 1]"
145.png,3,"[0.1, 1, 1, 3]"
146.png,4,"[0.1, 1, 3, 1]"
147.png,4,"[0.1, 1, 3, 3]"
148.png,2,"[0.1, 3, 1, 1]"
149.png,2,"[0.1, 3, 1, 3]"
150.png,4,"[0.1, 3, 3, 1]"
151.png,3,"[0.1, 3, 3, 3]"
152.png,2,"[0.12, 1, 1, 1]"
153.png,2,"[0.12, 1, 1, 3]"
154.png,1,"[0.12, 1, 3, 1]"
155.png,1,"[0.12, 1, 3, 3]"
156.png,3,"[0.12, 3, 1, 1]"
157.png,1,"[0.12, 3, 1, 3]"
158.png,1,"[0.12, 3, 3, 1]"
159.png,4,"[0.12, 3, 3, 3]"
160.png,4,"[0.14, 1, 1, 1]"
161.png,3,"[0.14, 1, 1, 3]"
162.png,1,"[0.14, 1, 3, 1]"
163.png,4,"[0.14, 1, 3, 3]"
164.png,1,"[0.14, 3, 1, 1]"
165.png,3,"[0.14, 3, 1, 3]"
166.png,3,"[0.14, 3, 3, 1]"
167.png,3,"[0.14, 3, 3, 3]"
